ref;nump;reg;dpt;com;insee;edif;adresse;leg;lieucor;autp;autoeu;scle;datpv;serie;typdoc;lbase;copy;video_v;video_p;wgs84;filename
APMH00002956;MH0002956;Ile-de-France;91;Saint-Sulpice-de-Favières;91578;Eglise Saint-Sulpice;;Ensemble nord-est;;Mieusement, Médéric (photographe);;;1881.06;;Négatif;PA00088007;Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/0322/sap01_mh002956_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/246a4dc37f581eb51ed6fe8e0f3b83b4/;48.540321, 2.178774;http://www.culture.gouv.fr/Wave/image/memoire/0322/sap01_mh002956_p.jpg
APMH00036051;MH0036051;Ile-de-France;91;Saint-Sulpice-de-Favières;91578;Eglise;;Coisée et choeur;;Enlart, Camille (historien);;;;;Négatif;;Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/0029/sap01_mh036051_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/12f363bea976ba1775e1b5b8c3fcefca/;48.541067, 2.179012;http://www.culture.gouv.fr/Wave/image/memoire/0029/sap01_mh036051_p.jpg
APMH00036052;MH0036052;Ile-de-France;91;Saint-Sulpice-de-Favières;91578;Eglise;;Transept;;Enlart, Camille (historien);;;;;Négatif;;Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/0029/sap01_mh036052_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/05e293a84e2c5497d357ab4c1b866c7c/;48.541067, 2.179012;http://www.culture.gouv.fr/Wave/image/memoire/0029/sap01_mh036052_p.jpg
APMH00036045;MH0036045;Ile-de-France;91;Saint-Sulpice-de-Favières;91578;Eglise;;Abside, au nord;;Enlart, Camille (historien);;;;;Négatif;;Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/0029/sap01_mh036045_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/136f97b779f2f7a45caaa3bb48f272f4/;48.541067, 2.179012;http://www.culture.gouv.fr/Wave/image/memoire/0029/sap01_mh036045_p.jpg
APMH00035899;MH0035899;Ile-de-France;77;Provins;77379;Eglise Saint-Ayoult;;Travées de la nef;;Enlart, Camille (historien);;;;;Négatif;;Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/0029/sap01_mh035899_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/af52911b2c736159d0964498101b32d5/;48.560149, 3.299203;http://www.culture.gouv.fr/Wave/image/memoire/0029/sap01_mh035899_p.jpg
APMH00018996;MH0018996;Ile-de-France;77;Provins;77379;"Abbaye Saint-Ayoul (ancienne) ; Eglise";;;;Heuzé, Henri (photographe);;;1919 (avant);;Négatif;"PA00087196 ; PM77001381";Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/0312/sap01_mh018996_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/1e6905b7996547aa5e03c4e4bfaba1b1/;48.560149, 3.299203;http://www.culture.gouv.fr/Wave/image/memoire/0312/sap01_mh018996_p.jpg
APMH00017279;MH0017279;Ile-de-France;77;Provins;77379;Hôtel Vauluisant;;Façade sur rue;;Durand, Jean-Eugène (photographe);;;1885.07;;Négatif;PA00087215;Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/0339/sap01_mh017279_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/aab40d7a34ef259194048fb839ccff38/;48.560149, 3.299203;http://www.culture.gouv.fr/Wave/image/memoire/0339/sap01_mh017279_p.jpg
APMH00006807;MH0006807;Ile-de-France;77;Provins;77379;Tour dite de César;;;;Durand, Eugène (photographe);;;;;Négatif;;Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/0010/sap01_mh006807_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/564d182b8e6c67b219f9fc74f9156fba/;48.560149, 3.299203;http://www.culture.gouv.fr/Wave/image/memoire/0010/sap01_mh006807_p.jpg
APMH00031711;MH0031711;Ile-de-France;77;Provins;77379;Abbaye Saint-Ayoul (ancienne);;Eglise, intérieur;;Louzier (photographe);;;;;Négatif;PA00087196;Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/0016/sap01_mh031711_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/dc48723a079d02a28e239dabcf82311b/;48.560149, 3.299203;http://www.culture.gouv.fr/Wave/image/memoire/0016/sap01_mh031711_p.jpg
APMH00031709;MH0031709;Ile-de-France;77;Provins;77379;Abbaye Saint-Ayoul (ancienne);;Eglise, fenêtre latérale;;Louzier (photographe);;;;;Négatif;PA00087196;Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/0016/sap01_mh031709_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/41d03a359c6036f347df41da45d6e0f0/;48.560149, 3.299203;http://www.culture.gouv.fr/Wave/image/memoire/0016/sap01_mh031709_p.jpg
